Start Year,End Year,Distance (km),Speed (km/yr)
1900,1905,2.18,0.44
1905,1910,0.0,0.0
1910,1915,11.35,2.27
1915,1920,4.4,0.88
1920,1925,2.2,0.44
1925,1930,0.0,0.0
1930,1935,2.2,0.44
1935,1940,11.35,2.27
1940,1945,0.0,0.0
1945,1950,6.66,1.33
1950,1955,8.88,1.78
1955,1960,12.96,2.59
1960,1965,8.8,1.76
1965,1970,12.93,2.59
1970,1975,12.9,2.58
1975,1980,12.87,2.57
1980,1985,11.33,2.27
1985,1990,22.66,4.53
1990,1995,23.11,4.62
1995,2000,22.63,4.53
2000,2005,22.62,4.52
2005,2010,34.29,6.86
2010,2015,34.24,6.85
2015,2016,0.0,0.0
2016,2017,11.13,11.13
2017,2018,1.84,1.84
2018,2019,11.13,11.13
2019,2020,11.13,11.13
2020,2021,0.0,0.0
2021,2022,0.0,0.0
2022,2023,11.13,11.13
2023,2024,1.78,1.78
2024,2025,11.13,11.13
