Start Year,End Year,Distance (km),Speed (km/yr)
1900,1905,24.87,4.97
1905,1910,13.33,2.67
1910,1915,24.8,4.96
1915,1920,36.36,7.27
1920,1925,59.54,11.91
1925,1930,60.62,12.12
1930,1935,59.15,11.83
1935,1940,58.97,11.79
1940,1945,67.45,13.49
1945,1950,80.74,16.15
1950,1955,68.35,13.67
1955,1960,15.89,3.18
1960,1965,34.43,6.89
1965,1970,34.39,6.88
1970,1975,35.08,7.02
1975,1980,82.96,16.59
1980,1985,59.95,11.99
1985,1990,82.14,16.43
1990,1995,106.23,21.25
1995,2000,237.5,47.5
2000,2005,277.35,55.47
2005,2010,259.36,51.87
2010,2015,267.5,53.5
2015,2016,58.83,58.83
2016,2017,52.73,52.73
2017,2018,50.14,50.14
2018,2019,48.16,48.16
2019,2020,46.21,46.21
2020,2021,43.47,43.47
2021,2022,40.52,40.52
2022,2023,42.44,42.44
2023,2024,35.52,35.52
2024,2025,38.19,38.19
