Start Year,End Year,Distance (km),Speed (km/yr)
1590,1591,15.14,15.14
1591,1592,16.14,16.14
1592,1593,15.7,15.7
1593,1594,14.7,14.7
1594,1595,14.15,14.15
1595,1596,14.05,14.05
1596,1597,13.72,13.72
1597,1598,13.51,13.51
1598,1599,13.2,13.2
1599,1600,12.87,12.87
1600,1601,12.67,12.67
1601,1602,12.35,12.35
1602,1603,12.14,12.14
1603,1604,11.92,11.92
1604,1605,11.6,11.6
1605,1606,11.49,11.49
1606,1607,11.05,11.05
1607,1608,10.93,10.93
1608,1609,10.59,10.59
1609,1610,10.14,10.14
1610,1611,9.79,9.79
1611,1612,9.45,9.45
1612,1613,9.09,9.09
1613,1614,8.52,8.52
1614,1615,7.95,7.95
1615,1616,7.38,7.38
1616,1617,6.7,6.7
1617,1618,6.13,6.13
1618,1619,5.35,5.35
1619,1620,4.68,4.68
1620,1621,4.01,4.01
1621,1622,3.56,3.56
1622,1623,3.01,3.01
1623,1624,2.56,2.56
1624,1625,2.23,2.23
1625,1626,1.67,1.67
1626,1627,1.34,1.34
1627,1628,1.01,1.01
1628,1629,0.7,0.7
1629,1630,0.61,0.61
1630,1631,0.37,0.37
1631,1632,0.34,0.34
1632,1633,0.41,0.41
1633,1634,0.46,0.46
1634,1635,0.79,0.79
1635,1636,0.82,0.82
1636,1637,0.91,0.91
1637,1638,1.31,1.31
1638,1639,1.63,1.63
1639,1640,1.73,1.73
1640,1641,2.16,2.16
1641,1642,2.37,2.37
1642,1643,2.92,2.92
1643,1644,3.02,3.02
1644,1645,3.57,3.57
1645,1646,3.79,3.79
1646,1647,4.01,4.01
1647,1648,4.34,4.34
1648,1649,4.46,4.46
1649,1650,4.68,4.68
1650,1651,4.69,4.69
1651,1652,4.92,4.92
1652,1653,4.93,4.93
1653,1654,4.82,4.82
1654,1655,4.94,4.94
1655,1656,4.95,4.95
1656,1657,4.74,4.74
1657,1658,4.86,4.86
1658,1659,4.65,4.65
1659,1660,4.66,4.66
1660,1661,4.77,4.77
1661,1662,4.78,4.78
1662,1663,4.78,4.78
1663,1664,5.0,5.0
1664,1665,5.0,5.0
1665,1666,5.22,5.22
1666,1667,5.22,5.22
1667,1668,5.44,5.44
1668,1669,5.34,5.34
1669,1670,5.44,5.44
1670,1671,5.44,5.44
1671,1672,5.55,5.55
1672,1673,5.55,5.55
1673,1674,5.22,5.22
1674,1675,5.44,5.44
1675,1676,5.11,5.11
1676,1677,4.9,4.9
1677,1678,4.91,4.91
1678,1679,4.6,4.6
1679,1680,4.41,4.41
1680,1681,4.34,4.34
1681,1682,4.29,4.29
1682,1683,4.25,4.25
1683,1684,4.31,4.31
1684,1685,4.37,4.37
1685,1686,4.54,4.54
1686,1687,4.71,4.71
1687,1688,4.96,4.96
1688,1689,5.13,5.13
1689,1690,5.3,5.3
1690,1691,5.46,5.46
1691,1692,5.54,5.54
1692,1693,5.81,5.81
1693,1694,5.79,5.79
1694,1695,5.94,5.94
1695,1696,6.02,6.02
1696,1697,6.01,6.01
1697,1698,6.05,6.05
1698,1699,5.98,5.98
1699,1700,6.18,6.18
1700,1701,6.05,6.05
1701,1702,6.16,6.16
1702,1703,6.04,6.04
1703,1704,6.06,6.06
1704,1705,5.97,5.97
1705,1706,6.01,6.01
1706,1707,6.05,6.05
1707,1708,6.18,6.18
1708,1709,6.34,6.34
1709,1710,6.4,6.4
1710,1711,6.6,6.6
1711,1712,6.72,6.72
1712,1713,6.87,6.87
1713,1714,6.93,6.93
1714,1715,7.13,7.13
1715,1716,7.35,7.35
1716,1717,7.35,7.35
1717,1718,7.36,7.36
1718,1719,7.37,7.37
1719,1720,7.05,7.05
1720,1721,6.83,6.83
1721,1722,6.38,6.38
1722,1723,6.04,6.04
1723,1724,5.25,5.25
1724,1725,4.46,4.46
1725,1726,3.56,3.56
1726,1727,2.9,2.9
1727,1728,2.05,2.05
1728,1729,1.43,1.43
1729,1730,0.71,0.71
1730,1731,0.59,0.59
1731,1732,1.05,1.05
1732,1733,1.62,1.62
1733,1734,2.48,2.48
1734,1735,3.02,3.02
1735,1736,3.46,3.46
1736,1737,4.23,4.23
1737,1738,4.34,4.34
1738,1739,4.68,4.68
1739,1740,4.79,4.79
1740,1741,4.81,4.81
1741,1742,4.94,4.94
1742,1743,4.76,4.76
1743,1744,4.91,4.91
1744,1745,4.95,4.95
1745,1746,4.89,4.89
1746,1747,4.95,4.95
1747,1748,5.12,5.12
1748,1749,5.31,5.31
1749,1750,5.5,5.5
1750,1751,5.63,5.63
1751,1752,5.71,5.71
1752,1753,5.98,5.98
1753,1754,6.03,6.03
1754,1755,6.03,6.03
1755,1756,6.26,6.26
1756,1757,6.43,6.43
1757,1758,6.89,6.89
1758,1759,7.28,7.28
1759,1760,7.8,7.8
1760,1761,8.27,8.27
1761,1762,8.8,8.8
1762,1763,9.3,9.3
1763,1764,9.82,9.82
1764,1765,10.32,10.32
1765,1766,11.02,11.02
1766,1767,11.71,11.71
1767,1768,12.13,12.13
1768,1769,12.65,12.65
1769,1770,12.88,12.88
1770,1771,12.94,12.94
1771,1772,13.0,13.0
1772,1773,12.96,12.96
1773,1774,12.79,12.79
1774,1775,12.62,12.62
1775,1776,12.38,12.38
1776,1777,12.05,12.05
1777,1778,12.13,12.13
