Year,North magetic pole
1900,70.5 -96.2
1905,70.7 -96.5
1910,70.8 -96.7
1915,71.0 -97.0
1920,71.3 -97.4
1925,71.8 -98.0
1930,72.3 -98.7
1935,72.8 -99.3
1940,73.3 -99.9
1945,73.9 -100.2
1950,74.6 -100.9
1955,75.2 -101.4
1960,75.3 -101.0
1965,75.6 -101.3
1970,75.9 -101.0
1975,76.2 -100.6
1980,76.9 -101.7
1985,77.4 -102.6
1990,78.1 -103.7
1995,79.0 -105.3
2000,81.0 -109.6
2005,83.2 -118.2
2010,85.0 -132.8
2015,86.3 -160.0
2016,86.5 -167.8
2017,86.6 -175.5
2018,86.6 176.9
2019,86.6 169.6
2020,86.5 162.9
2021,86.4 156.8
2022,86.3 151.3
2023,86.1 146.4
2024,86.0 142.0
2025,85.8 138.1
